Sample Name,Sample Number,TV,BV,BS,BV/TV,BS/TV,BS/BV,Conn.D,SMI,Tb.N,Tb.Th,Tb.Sp,Tb.Th.SD,Tb.Sp.SD,DA,BMD,TMD,exp_name,gene_symbol,Gender
Pdcd6ip_E01_F02_CV,4192,2.0422,0.4366,16.9138,0.2138,8.282146704534325,41.4556,154.0018,1.2549,4.6126,54.199999999999996,216.6,14.8,85.4,1.8083,160.9376,784.642,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Pdcd6ip_E01_F03_CV,4193,2.1586,0.4767,18.8648,0.2209,8.73936810895951,41.9501,171.6426,1.1606,4.5959,53.6,212.60000000000002,14.9,86.1,1.8562,167.5496,782.652,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Pdcd6ip_E01_F04_CV,4194,2.0819,0.5103,18.3563,0.2451,8.817090158028725,37.8027,150.5846,0.8832,4.6099,56.800000000000004,210.60000000000002,14.200000000000001,91.39999999999999,1.837,182.5067,812.695,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Pdcd6ip_E01_F05_CV,4196,2.6063,0.5773,21.4743,0.2215,8.239381498676284,39.1977,139.4707,1.0408,4.1428,56.7,235.5,14.200000000000001,109.39999999999999,1.796,172.6208,829.642,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Pdcd6ip_E01_F06_CV,4197,2.6373,0.65,22.3785,0.2464,8.485382777840973,35.8605,138.9677,0.7363,4.1181,60.5,241.60000000000002,16,125.2,1.7962,193.2912,850.697,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Pdcd6ip_E01_F07_CV,4198,2.0971,0.4684,18.1851,0.2234,8.671546421248388,41.2793,170.357,1.1745,4.6046,54.4,215.10000000000002,14.3,94.7,1.916,173.2628,802.809,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Pdcd6ip_E01_F08_CV,4199,2.1574,0.48,17.0061,0.2225,7.882682858996941,37.2508,127.4692,1.0385,3.5954,59.5,282.4,16.7,158,1.7852,167.2928,856.667,Pdcd6ip_E01.xlsx,Pdcd6ip,Female
Piezo2_E01_F01_CV,899,1.9549,0.4829,17.4264,0.247,8.914215560898256,38.098,157.811,0.8321,4.4798,55.7,220.6,13.899999999999999,98.9,2.0104,187.0002,836.896,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F02_CV,900,1.9114,0.4765,17.5933,0.2493,9.204405148059013,38.8978,162.4475,0.8831,4.6215,56.2,213.5,15.8,97.60000000000001,1.863,194.7035,842.031,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F03_CV,901,1.9958,0.4539,16.6521,0.2274,8.343571500150317,39.0975,153.8211,1.1415,4.4329,56.099999999999994,222.20000000000002,14.8,92.60000000000001,1.8386,173.5196,842.737,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F04_CV,902,2.059,0.4155,15.977,0.2018,7.75959203496843,41.2105,140.7204,1.4006,4.206,55.300000000000004,237.5,15.2,104.3,1.8097,155.417,822.581,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F05_CV,904,2.1986,0.4618,17.412,0.21,7.9195851905758206,40.0912,127.3527,1.2556,4.2884,56,228.8,14.6,99.5,1.8162,160.5525,864.05,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F06_CV,905,2.0103,0.5167,17.5346,0.257,8.72237974431677,35.7684,136.922,0.9128,4.5056,59.7,216.1,14.9,93.8,1.9694,202.856,867.003,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F07_CV,906,1.8593,0.411,14.8378,0.2211,7.9803151723767005,38.746,125.0447,1.2896,4.3325,57.2,226.39999999999998,15.9,92.5,1.9928,168.705,861.546,Piezo2_E01.xlsx,Piezo2,Female
Piezo2_E01_F08_CV,907,1.8643,0.3855,14.8409,0.2068,7.9605750147508445,41.3439,131.6823,1.3974,4.3338,55,229,15.2,101.6,1.9766,153.1702,830.99,Piezo2_E01.xlsx,Piezo2,Female
Plod2_E01_F01_CV,1682,2.0628,0.5277,18.576,0.2558,9.00523560209424,36.9491,156.3428,0.8507,4.7602,58.9,207.9,15.4,88.7,1.8232,194.0615,820.526,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F02_CV,1683,2.4542,0.6418,21.4226,0.2615,8.728954445440468,34.6204,149.5415,0.6831,3.872,62.300000000000004,263.79999999999995,16.8,159,1.8695,192.4567,833.75,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F03_CV,1684,2.2491,0.5506,20.9393,0.2448,9.310079587390511,40.0179,199.6316,0.9913,4.8032,55.4,204.4,14.200000000000001,93.2,1.7092,188.1557,794.528,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F04_CV,1685,2.2832,0.6089,22.0066,0.2667,9.638489838822705,37.7383,197.31,0.7579,4.6349,57.9,211,15.2,102,1.7331,206.0657,794.849,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F05_CV,1687,2.2226,0.5776,20.7261,0.2599,9.325159722847117,37.4531,183.3421,0.6744,4.533,57.4,221.89999999999998,15.7,112.9,1.7768,199.197,778.159,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F06_CV,1688,2.4634,0.6172,22.4868,0.2505,9.128359178371356,38.1917,169.4846,0.8579,4.4474,57.6,220.79999999999998,15.100000000000001,117.8,1.8345,185.0102,806.725,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F07_CV,1689,2.334,0.5199,19.5476,0.2228,8.375149957155099,39.7733,161.1,1.2115,4.1892,57,246,15.299999999999999,147.7,1.7209,166.5225,809.036,Plod2_E01.xlsx,Plod2,Female
Plod2_E01_F08_CV,1690,2.2483,0.635,21.7596,0.2824,9.678245785704755,35.4727,176.8003,0.5696,4.6766,60.6,208.6,16.1,109.10000000000001,1.6691,215.9515,797.802,Plod2_E01.xlsx,Plod2,Female
Ppfia1_E01_F01_CV,1724,1.9925,0.4375,16.1395,0.2196,8.10012547051443,39.3855,153.3275,1.1163,4.1278,56.099999999999994,242,15.6,121.30000000000001,1.7799,170.4383,805.955,Ppfia1_E01.xlsx,Ppfia1,Female
Ppfia1_E01_F02_CV,1725,2.034,0.4621,17.5142,0.2272,8.610717797443462,40.5216,177.7293,1.1605,4.3473,55.1,228.1,14.4,106.6,1.734,174.996,763.266,Ppfia1_E01.xlsx,Ppfia1,Female
Ppfia1_E01_F03_CV,1726,1.8699,0.4264,17.1267,0.228,9.159152895876785,43.221,209.3701,1.2415,4.7418,52.1,206.1,14.8,96,1.8667,179.618,760.12,Ppfia1_E01.xlsx,Ppfia1,Female
Ppfia1_E01_F04_CV,1727,2.2616,0.4946,19.3162,0.2187,8.540944464096214,41.6899,185.0434,1.2654,4.2981,54.6,234.1,16.2,110.10000000000001,1.7252,171.1444,796.711,Ppfia1_E01.xlsx,Ppfia1,Female
Ppfia1_E01_F05_CV,1729,1.9824,0.438,16.3955,0.2209,8.270530669895075,40.026,164.9537,1.221,4.3802,55.800000000000004,222.1,14.8,95.60000000000001,1.8365,171.658,810.833,Ppfia1_E01.xlsx,Ppfia1,Female
